Game Name,Game Genre,Description,Features,Gameplay,Game Engine,Experience,Other Notes,Made By
to be decided,platformer,Every spell you find brings you closer to the final Horcrux — if the Dementors don’t get you first,"multiple levels | collectible items | enemy chases | destructible platforms | hidden goals, and a touch of magic | expect vines, trapdoors, and a few surprises","you explore maze-like levels while being chased. you collect important things in a certain order, unlock spells, and use them to break stuff. once you find what you're looking for, you escape and move on. every level gets trickier",godot,prev made a platformer for v1 (using godot),,Nishtha S.
farmer work,top down ticon,a game that shows the farmer's work to save his plants and his work,the player needs to save his farm by killing the aliens that come to kill him | the player needs to buy the plants and catch the sheep | the player needs to find someone to sell his Vegetables (not everyone wants to buy all the day),the player needs to kill the aliens by pressing space button and if he wants to see what did he collect he will press enter button and to go back to the game press left mouse button and he needs to sell his vegetables and sometimes he will catch a sheep or chicken,godot 4.4.1,I made several games in godot,,Noor S.
,rpg game,"animated 3d game with VFX, profile system ,inventory management and sprinkle of AI","the player (can move, attack, animated) | monster(simple AI to go from idle, run or attack) | inventory, profile and shop | some VFX",,godot 4.4.1,almost beginner,goal: create a dynamic engaging and interactive 3d rpg game,Aamina
Orpheus: Git Gauntlet,"Action adventure, Open world",3d orpheus adventure game. inspired by breath of the wild and donkey kong bananza gameplay. I still haven't written the story but I have ideas.,interactable world with enemies to fight | the hackpad: gives Orpheus abilities | collectables | hack club references,"exploration, some puzzles, some fighting action, and some story.",godot,"I did a lot of past projects and worked on a lot of games, but I haven't used godot yet.",will require me to try again to learn blender,Guy
,platformer action,2d side view game defeat enemies,upgrades | weapons | new levels,,godot,,,Mohammad
Seismicat,puzzle,a physics-based puzzle game where you control seismic waves to open paths for a cat to escape.,seismic wave control system | cooldowns in between bursts | cracks that appear along stress points,"there will be multiple levels or “rooms”, where the player must control seismic waves to create gaps for a cat to squeeze through in order to move on",Godot,third game!,points based on number of “moves” needed to pass a level/room,KittyCat
echo nights,platformer(like Ori and the will of the wisps),"An adventure game with boss battles, health and challenges to complete",easy control with gamepad | adventure based | easy challenges | small battle with enemies(small mutated plants) | final boss battle,there will be a two levels or so (depends) where the player will complete small challenges to complete to move on with a dungeon feel where you will fight mutated plants and later at end game fight a final boss,unity,none,will have a fun game play to it,Hugo B.
Amalgame,2D Dungeon Crawler,"(Mostly) 2D Dungeon Crawler of many mixed-in genres, and an extremely inconsistent artstyle.","Dungeon Crawling Combat! | Similar to Enter the Gungeon, but with more emphasis on melee combat! | Random Generation! | Upgrade system! | Shopkeeping! | Lore! (Balance buries a mountain...) | A protagonist that is neither the hero nor represents you! | Extremely inconsistent artstyle!: | Pixel Art! (Frame by Frame Animation) | Green Screen! | Tweening! | 3D models! | And Ragdolls! | Will scope freak destroy me? Most likely!","Players would go through a dungeon, doing battle (or fleeing) in a action-based combat system.",Godot 4.x,"I've worked on a few different games before, and I've played around with Godot for a few months now. I'm fairly comfortable with the engine, and I could definitely lend a hand to any beginners here. :)","I'd like to also write some other games giving this one some inspiration: Enter The Gungeon, Nobody Saves The World, DemonTower (from Night in the Woods), Hyper Light Drifter, The Legend of Zelda (the original from the 1900s + Link's Awakening), Rogue (The original one)",BlueDragon_space
Radar,1 Player Shooter,You are trapped in the sea of darkness and can only hear the enemies coming but can't see them.,Upgradeable weapons | Animations for things like spawn | Muzzle flash to show enemies briefly,You get into the game and start hearing tiny radio signals of enemies and as you keep defeating more and more your score goes up but the enemies are faster and more difficult to defeat. You will also have options to upgrade your weapons as well.,Godot,none :skulk: never made full game,I might be cooked idk game design,Nachu T.
Echoes of Eternity,Action Roguelike,"Survive an AI-generated world: Infinite enemy designs, randomized loot, and ever-shifting challenges","Procedural Enemies: Randomized enemy designs with unique attack patterns and stats (e.g., fast-moving ""Shadows"" vs. slow-but-tough ""Golems""). | Adaptive Difficulty: Dynamic scaling of enemy aggression and health based on player performance (e.g., tougher bosses after repeated losses). | Diverse Loot: Weapon/armor variations with distinct combat effects (e.g., fire swords, energy shields, critical strike boosts). | Maze-Like Levels: Algorithmically generated layouts with hidden secrets and branching paths. | Run-Based Progression: Unlock permanent upgrades (health boosts, critical strike chance) between deaths. | Survival Combat: Dodge/attack timing system with controller-friendly inputs (e.g., A/B for attack, L/R for abilities). | Console Optimization: 2D sprites, 60 FPS cap, and battery-efficient design for handheld play. | Leaderboards: Track top scores for competitive replayability.","Example Run: Start: Choose a class (rogue, mage). Generate Level: Procedural algorithm creates a maze with enemies/loot. Combat: Dodge attacks, collect loot (e.g., ""Plasma Blade""), defeat bosses. Death/Restart: Unlock new abilities and retry with enhanced stats.",Godot,Developed some games using pygame first time will use godot for making game,,Anant
Lost Light,platformer,a platformer where you must collect scattered light orbs to restore power to a darkened world.,light-based mechanics (e.g. light reveals hidden platforms) | collectible orbs that unlock new areas | basic enemy avoidance,"the player navigates through increasingly challenging levels, collecting orbs that power up the environment and open new sections. Light reveals hidden platforms and dangers, encouraging exploration.",Godot,beginner,i'm using the Godot platformer starter guide to start my game,Bishal S.
Math game (Undecided),Puzzel Platformer,Use equations to navigate the level which is a graph,2d platforming | ability to create linear equation graphics(maybe sin/cos and parabolas),you go through each level using math equations to solve puzzels and navigate the world,Godot,i have made games in godot,,ViviTheQueen
Blade Of Light,Hollow knight inspired metroidvania,2D combat-platformer with sekiro inspired combat mechanics,Smooth combat | Complex movement options | Difficult boss fights,"Platform through a dark world and light it up, obtain new abilities and challenge strong foes. Play as a moth samurai and fight with parrying and movement",Godot,Beginner,,Jacob H.
Swiveling Escape Remake,puzzle platformer,remake of my platformer where you have to rotate to move instead of linear translation,get that torques | amazingly simple puzzle | the ninjas are back,"there will be 5 levels and the player goes through the maze-like map, rotating, lookin for keys to unlock doors, maybe discovering the story",Unity,36th itch game!,torqueeeeeeeeeeeee,Alimad
